Date,Close/Last,Volume,Open,High,Low
05/11/2021,$150.84,4643144,$148.34,$152.085,$147.85
05/10/2021,$150.79,4132404,$156.83,$157.17,$150.76
05/07/2021,$157.26,2706596,$156.67,$158.35,$156.02
05/06/2021,$155.42,4775190,$153.99,$156.48,$152.86
05/05/2021,$153.93,4415443,$153.28,$155.22,$152.3
05/04/2021,$151.91,3849712,$150,$152,$148.55
05/03/2021,$151.32,3265463,$154,$154.18,$150.695
04/30/2021,$153.16,4035021,$155.54,$156.305,$152.57
04/29/2021,$158.01,5833014,$156.54,$158.11,$154.01
04/28/2021,$156.06,3304556,$158.5,$158.76,$155.035
04/27/2021,$159.55,3232502,$161.34,$161.92,$159.47
04/26/2021,$160.64,2705503,$158.63,$161.9,$158.27
04/23/2021,$159.02,3415473,$156.7,$159.97,$156.11
04/22/2021,$155.37,2487856,$157.27,$158.13,$154.91
04/21/2021,$158.29,2713111,$155.49,$158.34,$154.12
04/20/2021,$154.47,2339678,$154.9,$156.26,$153.57
04/19/2021,$156.91,3405026,$158.48,$159,$155.7
04/16/2021,$159.51,1862017,$160.99,$161.33,$159.14
04/15/2021,$160.71,1816032,$160,$161.32,$158.69
04/14/2021,$158.46,1596398,$157.71,$160.63,$157.65
04/13/2021,$159.16,1704620,$160.55,$160.95,$157.36
04/12/2021,$159.73,2026743,$160.64,$160.89,$158.96
04/09/2021,$161.24,2250494,$160.8,$161.97,$160.17
04/08/2021,$162.12,2599546,$161.62,$162.23,$159.5
04/07/2021,$159.45,2062824,$161.68,$161.98,$158.63
04/06/2021,$161.71,2422061,$162.3,$163.09,$159.76
04/05/2021,$163.49,2628373,$162.16,$163.9016,$160.6
04/01/2021,$160.38,3345796,$157.38,$160.49,$156.88
03/31/2021,$155.08,3457075,$154.22,$156.11,$153.61
03/30/2021,$152.61,2114094,$152.15,$153.43,$151.5
03/29/2021,$153.85,2751718,$155.03,$156.21,$152.02
03/26/2021,$157.11,3686203,$148.42,$157.37,$148
03/25/2021,$149.9,2725303,$148.44,$150.91,$146.51
03/24/2021,$150.44,2792999,$152.34,$153.97,$150.2
03/23/2021,$150.49,2505424,$154.59,$154.97,$149.63
03/22/2021,$154.5,3321634,$153.22,$156.32,$153.22
03/19/2021,$151.91,4624903,$149.4,$153.21,$147.74
03/18/2021,$149.45,3853407,$151.35,$153.28,$149.28
03/17/2021,$154.16,2852783,$150.42,$154.865,$150.07
03/16/2021,$153.08,2324553,$152.337,$154.51,$151.94
03/15/2021,$151,2113191,$149.62,$151.11,$147.96
03/12/2021,$149.54,3658533,$148.6,$149.83,$147.55
03/11/2021,$151.03,4462146,$150.35,$152.12,$149.99
03/10/2021,$147.11,3137413,$151.33,$151.52,$147.09
03/09/2021,$149.43,5203369,$148.73,$151.11,$148.17
03/08/2021,$144.06,3996375,$147.77,$149.56,$143.77
03/05/2021,$148.88,4040153,$149,$149.62,$143.39
03/04/2021,$144.52,4870042,$149.19,$149.59,$142.25
03/03/2021,$149.94,2665947,$153.17,$155,$149.52
03/02/2021,$154.29,3016494,$159.41,$159.41,$154.03
03/01/2021,$158.59,3385690,$157.08,$158.78,$155.03
02/26/2021,$155.82,5574151,$156.56,$157.75,$152.26
02/25/2021,$153.68,3282579,$158.7,$160.15,$153.29
02/24/2021,$161.76,2748906,$156.52,$161.92,$155.16
02/23/2021,$157.7,3022283,$157.36,$158.67,$153.31
02/22/2021,$159.24,3510227,$162.31,$163.4125,$158.47
02/19/2021,$163.8,2944031,$160.63,$164.4,$160
02/18/2021,$158.09,3808456,$157.94,$158.77,$155.66
02/17/2021,$159.75,3815946,$157.15,$162.11,$155
02/16/2021,$160.49,3172413,$162.85,$163.95,$160.36
02/12/2021,$160.78,2387914,$158.99,$161.4,$157.91
02/11/2021,$158.8,2981585,$154.61,$159.015,$154.61
02/10/2021,$153.23,1761840,$154.7,$154.79,$151.6
02/09/2021,$152.85,1689291,$152.7,$153.51,$151.7325
02/08/2021,$153.2,2296013,$150.16,$153.3,$148.76
02/05/2021,$148.76,2169328,$151.72,$151.93,$148.61
02/04/2021,$150.52,2027583,$147.83,$150.65,$147
02/03/2021,$147.58,2703592,$152,$152.41,$147.46
02/02/2021,$151.87,2536652,$153.02,$154.25,$150.9875
02/01/2021,$151.88,2958608,$148.34,$152.26,$147.325
01/29/2021,$147.33,3512758,$148.58,$149.53,$146.65
01/28/2021,$149.21,4351965,$150.37,$151.86,$148.448
01/27/2021,$147.48,5644562,$151.09,$152.82,$146.749
01/26/2021,$154.94,2329108,$153.93,$155.53,$152.0343
01/25/2021,$153.72,3697109,$157,$157.29,$152.49
01/22/2021,$155.58,3147156,$157.73,$158.9425,$155.42
01/21/2021,$159.29,2469486,$160.61,$160.93,$157.56
01/20/2021,$159.83,2296226,$161.43,$162.98,$159.58
01/19/2021,$160.54,2992073,$158.455,$160.97,$158.3
01/15/2021,$157.75,2338013,$158.03,$159.06,$155.53
01/14/2021,$159.46,2028093,$159.18,$160.815,$159.18
01/13/2021,$158.48,2622851,$160,$161.78,$158.15
01/12/2021,$159.09,2573826,$157.01,$159.34,$156.52
01/11/2021,$158.3,2609994,$156.13,$159.2,$155.0104
01/08/2021,$156.74,4204960,$156.02,$159.81,$155.82
01/07/2021,$155.61,2661268,$151.83,$156.21,$151.14
01/06/2021,$149.3,2498159,$147.73,$152.29,$147.11
01/05/2021,$148.63,1513687,$145.77,$148.67,$145.1407
01/04/2021,$146.02,2496642,$148.45,$150.545,$144.62
12/31/2020,$147.73,1626778,$146.5,$147.83,$145.7
12/30/2020,$146.18,1138772,$144.65,$146.61,$144.5
12/29/2020,$143.66,1130938,$145.18,$145.24,$142.74
12/28/2020,$144.68,1630801,$146.41,$147.48,$144.44
12/24/2020,$144.47,466385,$144.11,$144.48,$143.01
12/23/2020,$143.22,2200941,$144.8,$145.62,$143.08
12/22/2020,$144.28,2163678,$142.73,$144.68,$142.67
12/21/2020,$142.59,1827363,$141.73,$143.39,$141.31
12/18/2020,$144.56,4230799,$144.38,$145,$143.44
12/17/2020,$143.78,2354186,$143.55,$143.87,$142.61
12/16/2020,$142.8,1583312,$144.76,$144.76,$141.57
12/15/2020,$144.06,2554459,$145.26,$145.26,$143.49
12/14/2020,$142.33,2214406,$142.06,$143.93,$141.655
12/11/2020,$141.15,3215957,$140.04,$142.055,$139.49
12/10/2020,$141.28,2704351,$140.57,$142.67,$140.14
12/09/2020,$141.78,3019527,$145.4,$146.3075,$140.91
12/08/2020,$146.13,2837482,$143.25,$146.31,$143.21
12/07/2020,$143.71,1734467,$144.68,$144.68,$142.5
12/04/2020,$143.97,3349071,$139.75,$144.14,$139.21
12/03/2020,$139.75,1734072,$140.58,$141.4225,$139.33
12/02/2020,$140.66,2193004,$140.71,$141.64,$140.07
12/01/2020,$140.73,3161120,$140,$141.91,$138.81
11/30/2020,$139.08,3010588,$137.65,$139.3241,$137.1
11/27/2020,$137.75,1305724,$138.12,$138.55,$137.235
11/25/2020,$135.95,2040208,$136.61,$137.95,$134.9601
11/24/2020,$136.89,4678146,$137.69,$137.92,$132.84
11/23/2020,$137.07,2884170,$135.28,$137.34,$135.18
11/20/2020,$134.88,2295742,$136.62,$136.91,$134.68
11/19/2020,$136.17,2473972,$131.66,$136.23,$131.5
11/18/2020,$133.23,2359399,$135.95,$136.51,$132.97
11/17/2020,$135.87,2978125,$136.99,$137.455,$135.15
11/16/2020,$138.01,3433233,$137.78,$140.17,$136.81
11/13/2020,$136.27,2220393,$137.43,$137.93,$135.68
11/12/2020,$135.48,2013556,$137.35,$137.69,$134.39
11/11/2020,$137.38,2515248,$135.56,$138.64,$135.56
11/10/2020,$134.78,4742619,$135,$136.86,$133.9
11/09/2020,$135.82,5151081,$138.56,$140.38,$135.7
11/06/2020,$133.5,3814632,$130.98,$133.78,$130
11/05/2020,$130.4,3753271,$127.45,$130.95,$126.86
11/04/2020,$125.94,3765494,$122.39,$126.38,$121.02
11/03/2020,$119.75,2549906,$119.5,$121.305,$119.27
11/02/2020,$118.48,2445333,$120.14,$120.14,$117.62
10/30/2020,$118.53,3099150,$117.31,$118.66,$116.33
10/29/2020,$118.48,2680256,$116.23,$119.45,$115.639
10/28/2020,$116.47,3387212,$118.9,$119.54,$116.2
10/27/2020,$120.29,2475120,$121.59,$122.2,$120.23
10/26/2020,$121.13,2186233,$123.38,$123.65,$119.81
10/23/2020,$124.2,2304076,$125.22,$125.645,$123.45
10/22/2020,$124.75,2070506,$124.56,$125.14,$122.92
10/21/2020,$124.76,3992787,$124.08,$125.81,$123
10/20/2020,$123.62,2898904,$122.96,$124.52,$122.49
10/19/2020,$122.61,2390888,$124.62,$125.26,$122.325
10/16/2020,$123.64,2232510,$124.75,$125.82,$123.54
10/15/2020,$123.98,2033103,$121.44,$124.56,$120.9
10/14/2020,$123.04,1494931,$123.71,$124.19,$122.49
10/13/2020,$123.59,2439601,$126.35,$126.49,$123.32
10/12/2020,$126.11,3053145,$124.72,$126.32,$124.01
10/09/2020,$123.33,3984732,$122.33,$124.41,$121.76
10/08/2020,$120.34,3993053,$119.93,$121.1,$119.29
10/07/2020,$118.67,4256028,$117.1,$118.98,$115.79
10/06/2020,$115.54,3773013,$115.96,$118.93,$115.025
10/05/2020,$116.6,4413996,$115.36,$116.69,$114.965
10/02/2020,$114.01,3172657,$116.5,$117.95,$114
10/01/2020,$118.99,3092908,$118.98,$119.64,$117.37
09/30/2020,$116.74,3185085,$116.71,$118.25,$116.21
09/29/2020,$116.65,2303840,$115.99,$117.94,$115.84
09/28/2020,$117.06,2071681,$115.32,$117.07,$114.765
09/25/2020,$113.48,2293652,$111.77,$113.66,$110.66
09/24/2020,$112.68,2255466,$111.99,$114.32,$111.46
09/23/2020,$112.5,3149787,$114.89,$115.63,$112.18
09/22/2020,$114.7,2220076,$114.14,$114.75,$112.905
