Date,Close/Last,Volume,Open,High,Low
05/11/2021,$378.18,1859681,$379.31,$380.92,$376
05/10/2021,$381.48,1998663,$385.49,$387.89,$381.28
05/07/2021,$384.32,1817365,$382.83,$386.45,$382.2001
05/06/2021,$382.76,2641378,$373.19,$382.94,$373.19
05/05/2021,$372.5,1905324,$376.35,$377.5164,$372.05
05/04/2021,$375.29,2133796,$379.03,$379.23,$373.75
05/03/2021,$379.32,2685849,$373.84,$379.62,$372.89
04/30/2021,$372.09,2118990,$372.91,$374.16,$371.33
04/29/2021,$373.54,1848301,$368.54,$374.71,$368.53
04/28/2021,$369.59,1305602,$369.55,$370.5,$368.18
04/27/2021,$370.21,1875871,$368.17,$370.96,$365.29
04/26/2021,$368.52,2059737,$373.9,$373.9,$368.21
04/23/2021,$373.28,1404929,$371.26,$374.85,$370.41
04/22/2021,$371.26,2138003,$374.34,$375.44,$370.03
04/21/2021,$374.09,1532098,$371.61,$374.58,$371.47
04/20/2021,$371.73,2330659,$369,$375.355,$368.73
04/19/2021,$369.55,1560002,$371,$371.53,$368.2
04/16/2021,$370.72,2249168,$369.7,$372.8,$368.58
04/15/2021,$368.8,1850332,$364.88,$369.55,$364.27
04/14/2021,$363.17,1509408,$364.85,$364.85,$362.55
04/13/2021,$365.21,1796367,$365.34,$367.3,$364.2701
04/12/2021,$364.81,1836606,$362.84,$365.25,$361.34
04/09/2021,$363.21,1610750,$360.91,$363.71,$359.595
04/08/2021,$361.22,2839157,$362.8,$366.02,$359.6
04/07/2021,$358.81,1808369,$360.866,$361.46,$357.61
04/06/2021,$360.12,2142011,$359.8,$362.8,$359
04/05/2021,$360.82,2705656,$357.5,$362.67,$356.8378
04/01/2021,$354.94,2938607,$352.54,$357.32,$351.6314
03/31/2021,$352.48,2832221,$350.66,$357.4495,$349.23
03/30/2021,$349.75,2602426,$353.58,$354.77,$348.84
03/29/2021,$356.15,3011985,$351.45,$357.77,$351.01
03/26/2021,$352.02,3061215,$346.21,$352.46,$344.1
03/25/2021,$346.34,4307145,$337.81,$347.78,$337.27
03/24/2021,$338.04,3006369,$342.22,$342.51,$336.83
03/23/2021,$340.34,3641218,$333.89,$342.51,$333.795
03/22/2021,$334.49,4064876,$328.45,$336.17,$328.19
03/19/2021,$328.91,4859256,$323.61,$329.25,$322.39
03/18/2021,$322.98,2738244,$326.48,$328.14,$322.375
03/17/2021,$329.19,2672370,$326,$330.5,$324.12
03/16/2021,$327.25,3066700,$329.67,$330.03,$326.64
03/15/2021,$330.51,3244291,$333.6,$333.68,$327.32
03/12/2021,$331.14,3182073,$328.1,$331.625,$325.6
03/11/2021,$328.65,4338898,$330.4097,$331.25,$326.7211
03/10/2021,$323.83,4523512,$321.14,$327.39,$317.32
03/09/2021,$318.78,5426779,$313.76,$320.28,$312.71
03/08/2021,$311.42,4873459,$318.91,$322.3289,$310.92
03/05/2021,$317.32,8102777,$315.329,$318.43,$307
03/04/2021,$319.04,5501245,$323.37,$325.6,$315.04
03/03/2021,$323.92,4064203,$328.1698,$328.4197,$323.76
03/02/2021,$328.46,4660068,$333.69,$334.69,$328.42
03/01/2021,$331.77,4656825,$335.21,$335.9999,$331.36
02/26/2021,$331,3362224,$335.51,$335.89,$330.94
02/25/2021,$333.9,3618077,$340.85,$343,$333.35
02/24/2021,$340.7,3305848,$341.79,$342.5,$337.89
02/23/2021,$342.15,3692638,$349.8,$351,$342.03
02/22/2021,$350.21,2215579,$352.75,$353.29,$348.82
02/19/2021,$354.77,1839533,$356.69,$357.93,$354.575
02/18/2021,$356.92,1915706,$352.28,$358.2,$352.28
02/17/2021,$358.04,2145058,$353.11,$358.17,$351.91
02/16/2021,$354,1829035,$353.0788,$355.36,$352.0362
02/12/2021,$352.75,2096607,$351.99,$352.98,$350.1
02/11/2021,$352.2,2088355,$355.73,$356.5,$351.39
02/10/2021,$356.12,2162400,$361,$361,$355.12
02/09/2021,$359.56,2153966,$360.04,$361.6739,$358.3
02/08/2021,$359.83,2520650,$356.57,$360.04,$355.57
02/05/2021,$355.17,2165628,$356.55,$356.845,$354.1
02/04/2021,$355.85,3411624,$356.714,$358.38,$353.85
02/03/2021,$355.21,1759821,$356.233,$357.53,$353.21
02/02/2021,$355.58,1905007,$351.76,$357.7,$350.72
02/01/2021,$350.52,2371160,$351.21,$352.79,$349.21
01/29/2021,$352.43,2598738,$354.75,$356.29,$351.88
01/28/2021,$357.06,2251115,$356.85,$361.605,$356.07
01/27/2021,$356.39,3120813,$362.99,$365.8,$354.85
01/26/2021,$364.98,1806952,$360.2,$365.8995,$358.88
01/25/2021,$361.88,2735901,$360.86,$361.96,$356.82
01/22/2021,$362.3,1960295,$363.2,$364.63,$359.85
01/21/2021,$362.8,2122581,$361.3,$363.99,$359.9401
01/20/2021,$361.3,2767231,$354.39,$361.897,$353.41
01/19/2021,$354.47,4533829,$362.355,$362.95,$352.44
01/15/2021,$362.16,2340396,$361.06,$364.905,$360.8
01/14/2021,$362.35,2363869,$366,$366.5,$361.5553
01/13/2021,$366.95,1968804,$364.37,$368.74,$363
01/12/2021,$364.2,2387580,$364,$365.07,$360.25
01/11/2021,$364.01,2564790,$368.58,$371,$363.86
01/08/2021,$369.94,2599696,$368.115,$370.26,$364.29
01/07/2021,$367.92,2849525,$371.01,$371.65,$366.79
01/06/2021,$370.02,2661436,$373.82,$375.8,$369.648
01/05/2021,$375.74,2748442,$378.86,$380.205,$375.25
01/04/2021,$380.15,3322184,$377.43,$381.55,$374.81
12/31/2020,$376.78,1628904,$374.99,$377.04,$372.46
12/30/2020,$374.45,1777985,$374.2,$375.86,$373.2828
12/29/2020,$372.72,2072603,$372.25,$373.255,$370.26
12/28/2020,$371.06,3207654,$365.5,$371.69,$365.0754
12/24/2020,$364.58,972522,$361.4055,$365.335,$361.4055
12/23/2020,$361.89,1782110,$362.45,$363.1,$359.5
12/22/2020,$362.03,2106626,$364.1,$364.76,$360.61
12/21/2020,$364.97,2329659,$365.09,$366.115,$361.812
12/18/2020,$367,4140033,$371.1,$371.36,$365.93
12/17/2020,$370.29,2314176,$370.26,$370.97,$368
12/16/2020,$369.44,2385081,$371.16,$372.84,$368.845
12/15/2020,$371.88,2137136,$374.505,$375.69,$369.3
12/14/2020,$374.38,2778433,$376.56,$378.18,$373.21
12/11/2020,$375.1,3483947,$379.77,$379.77,$372.54
12/10/2020,$372.79,2566344,$374.29,$375,$371.56
12/09/2020,$374.29,2461551,$379.88,$381,$372.8
12/08/2020,$377.6,2685523,$373.95,$379.524,$370.75
12/07/2020,$373.33,2652928,$374.27,$376.5,$372.65
12/04/2020,$373.43,2839727,$375.21,$375.31,$371.89
12/03/2020,$374.05,3976442,$378,$378.73,$373.28
12/02/2020,$383.5,2212845,$385.47,$386.88,$381.57
12/01/2020,$387.56,2998441,$384.5,$388.07,$381.1751
11/30/2020,$391.77,3733758,$391.75,$393.15,$385.23
11/27/2020,$388.39,1329425,$390.46,$390.67,$387.75
11/25/2020,$387.75,2034236,$385.79,$388.34,$385.555
11/24/2020,$384.22,2065672,$383.69,$386.05,$380.71
11/23/2020,$381.71,1685136,$383,$383.06,$380.34
11/20/2020,$381.12,1809463,$383.95,$385.5023,$381.01
11/19/2020,$383.54,1768904,$383.61,$384.71,$380.31
11/18/2020,$382.23,2134609,$382.888,$388.05,$381.73
11/17/2020,$381.92,3299130,$387.32,$388.48,$381.79
11/16/2020,$379.79,1691460,$376.91,$381.28,$376.91
11/13/2020,$378.84,1275252,$376.52,$379.83,$374.9905
11/12/2020,$375.71,1537419,$376.95,$378.24,$373.5
11/11/2020,$372.92,1688755,$369.68,$374.7,$368.16
11/10/2020,$366.62,2662644,$363.88,$371.535,$360.59
11/09/2020,$365,4371322,$388.25,$389.5,$364.76
11/06/2020,$385.66,1950329,$381.88,$386.8,$380.89
11/05/2020,$385.23,2255767,$382.48,$386.58,$379.5
11/04/2020,$376.17,2450234,$374.02,$381.635,$374
11/03/2020,$371.96,2013103,$368.94,$374.8,$367.89
11/02/2020,$364.39,1646349,$362.22,$365.66,$360.71
10/30/2020,$357.62,2724917,$361.13,$363.85,$355.79
