Date,Close/Last,Volume,Open,High,Low
05/11/2021,$46.23,2393923,$45.797,$46.56,$45.27
05/10/2021,$46.46,2626285,$46.79,$47.05,$46.24
05/07/2021,$46.53,3013723,$46.08,$46.94,$45.89
05/06/2021,$45.93,2963214,$46.15,$46.48,$45.21
05/05/2021,$45.82,4483399,$46.29,$46.47,$45.19
05/04/2021,$45.97,4511600,$44.002,$46.15,$43.87
05/03/2021,$44.45,2474968,$45.37,$45.48,$44.37
04/30/2021,$44.79,5518863,$44.88,$45.86,$44.34
04/29/2021,$45.05,10228110,$42.61,$45.17,$41.74
04/28/2021,$41.59,3899641,$42.73,$42.73,$41.48
04/27/2021,$42.46,4711634,$43,$43.45,$42.26
04/26/2021,$43.08,2626517,$42.5,$43.23,$42.26
04/23/2021,$42.48,4436054,$42.32,$42.915,$41.375
04/22/2021,$41.96,8888795,$41.24,$42.56,$41
04/21/2021,$40.94,15121020,$37.41,$41.7,$37.3
04/20/2021,$36.89,2043204,$37,$37.08,$36.25
04/19/2021,$37,2356592,$37.82,$38.22,$36.87
04/16/2021,$38.01,1575083,$37.7,$38.09,$37.531
04/15/2021,$37.7,2503562,$37.72,$38.705,$37.57
04/14/2021,$37.68,2748353,$37.41,$38.15,$37.25
04/13/2021,$37.49,4712695,$37.86,$37.95,$37.28
04/12/2021,$37.95,1707064,$37.78,$38.0079,$37.54
04/09/2021,$37.56,2825531,$37.78,$38.01,$37.07
04/08/2021,$37.85,2540479,$37.66,$38.08,$37.36
04/07/2021,$37.74,1707704,$37.57,$38.13,$37.425
04/06/2021,$37.43,2353280,$37.542,$37.8,$37.21
04/05/2021,$37.69,2998554,$37.08,$38.08,$36.86
04/01/2021,$36.8,2797002,$36.2,$36.8,$35.995
03/31/2021,$36.2,3495492,$35.8,$36.545,$35.685
03/30/2021,$35.87,2305139,$35.52,$36.075,$35.16
03/29/2021,$35.42,2219014,$35.49,$35.97,$34.78
03/26/2021,$36.12,3457436,$36.26,$36.5,$35.37
03/25/2021,$36.25,3324209,$35.38,$36.4,$34.8
03/24/2021,$35.52,3170452,$36.19,$36.48,$35.44
03/23/2021,$35.94,4546202,$37.33,$37.335,$35.85
03/22/2021,$37.54,1931300,$37.25,$37.85,$36.8
03/19/2021,$37.28,4872557,$37.19,$37.71,$37.07
03/18/2021,$37.64,2501256,$38.84,$39.22,$37.58
