Date,Close/Last,Volume,Open,High,Low
05/11/2021,$60.43,11344450,$60.044,$60.99,$59.142
05/10/2021,$61.44,11628700,$59.56,$62.3,$59.26
05/07/2021,$59.78,10347460,$59.1,$60.01,$58.395
05/06/2021,$58.82,7583007,$58.15,$58.885,$57.76
05/05/2021,$58.24,7002822,$57.4,$58.88,$57.39
05/04/2021,$57.69,9736859,$57.51,$58.34,$56.82
05/03/2021,$58.15,12472620,$56.17,$58.85,$56.12
04/30/2021,$55.79,10069310,$55.73,$56.89,$55.655
04/29/2021,$56.07,31081970,$57.29,$57.34,$54.95
04/28/2021,$62.32,7814148,$62.08,$62.87,$61.8201
04/27/2021,$61.7,5577552,$61.715,$62.31,$61.38
04/26/2021,$61.58,4539307,$61,$61.61,$60.77
04/23/2021,$60.91,5073020,$60.88,$61.17,$60.44
04/22/2021,$60.74,6849102,$61.85,$61.9,$60.53
04/21/2021,$61.78,5091865,$61.44,$61.865,$60.88
04/20/2021,$61.79,5506306,$63.63,$63.8,$61.205
04/19/2021,$63.79,5285783,$64.63,$65.11,$63.6
04/16/2021,$64.93,4650464,$64.52,$64.99,$64.29
04/15/2021,$64.36,4677553,$63.33,$64.535,$63.03
04/14/2021,$62.79,9522826,$63.94,$64.39,$62.35
04/13/2021,$63.82,5264929,$63.02,$64.08,$62.92
04/12/2021,$62.64,5003595,$62.47,$62.88,$62.13
04/09/2021,$62.47,3801019,$62.08,$62.6,$61.845
04/08/2021,$62.19,3948394,$62.3,$62.65,$61.76
04/07/2021,$61.76,5848300,$62.69,$62.69,$61.43
04/06/2021,$62.52,6396883,$63.63,$63.72,$62.235
04/05/2021,$63.69,6672791,$63.35,$63.98,$62.5504
04/01/2021,$63.11,5210136,$61.4,$63.2356,$61.39
03/31/2021,$61.24,8516830,$60.84,$62.67,$60.75
03/30/2021,$60.32,5400645,$59.53,$60.63,$59.05
03/29/2021,$59.85,7090352,$60.878,$61.18,$59.28
03/26/2021,$60.83,7409597,$58.15,$60.93,$58.04
03/25/2021,$58.09,5705597,$57.73,$58.43,$56.98
03/24/2021,$57.64,7141900,$60.61,$60.9,$57.58
03/23/2021,$60.31,5959428,$60.4,$61.03,$60.01
03/22/2021,$60.29,6584081,$59.925,$60.845,$59.56
03/19/2021,$59.73,10317940,$59.16,$60.03,$58.51
03/18/2021,$58.9,6547623,$58.32,$60.12,$58
03/17/2021,$59,6788449,$56.73,$59.725,$56.715
03/16/2021,$57.42,5873583,$57.3,$58.19,$57.06
03/15/2021,$57.67,5862094,$55.845,$57.71,$55.61
03/12/2021,$55.8,5025837,$55.679,$56.1,$55.035
03/11/2021,$56.24,5887998,$55.95,$56.58,$55.46
03/10/2021,$55.34,7202558,$56.7822,$56.7822,$54.53
03/09/2021,$56.17,8406976,$54.6,$56.97,$54.32
03/08/2021,$53.49,7622111,$53.87,$55.19,$53.45
03/05/2021,$53.76,8395102,$53.88,$54.12,$51.51
03/04/2021,$53.34,9940351,$54.47,$54.89,$52.46
03/03/2021,$54.6,11055550,$56.73,$56.95,$54.48
03/02/2021,$56.99,7646674,$58.635,$58.66,$56.885
03/01/2021,$58.48,6154507,$57.102,$58.7,$56.53
02/26/2021,$56.42,9013997,$57.34,$57.66,$56.25
02/25/2021,$56.98,7868324,$59.4,$59.97,$56.85
02/24/2021,$59.38,8049950,$60.99,$61.05,$58.83
02/23/2021,$61.37,5826485,$60.68,$61.73,$59.82
02/22/2021,$61.56,5252920,$62.1,$62.2943,$60.96
02/19/2021,$61.98,5462514,$63.19,$63.36,$61.865
02/18/2021,$62.8,5963760,$62.7,$63.35,$62.22
02/17/2021,$63.05,4179424,$62.575,$63.24,$62.05
02/16/2021,$62.865,5559754,$63.98,$64,$62.82
02/12/2021,$63.01,5621774,$62.05,$63.19,$61.94
02/11/2021,$62.31,3660146,$62.6,$62.98,$61.67
02/10/2021,$62.32,4470858,$62.545,$63.22,$61.76
02/09/2021,$62.23,5036384,$63.87,$63.91,$62.1201
