Date,Close/Last,Volume,Open,High,Low
05/11/2021,$114.83,6195673,$115.14,$115.7311,$113.67
05/10/2021,$116.15,3146353,$118.22,$118.71,$116.09
05/07/2021,$117.65,3840065,$118.83,$119.07,$117.13
05/06/2021,$118.13,4155348,$116.93,$118.17,$115.63
05/05/2021,$116.59,3896209,$118.61,$118.99,$116.44
05/04/2021,$118.04,7520913,$119.5,$119.85,$117.13
05/03/2021,$120.07,10724150,$121.29,$121.79,$119.73
04/30/2021,$120.12,14411880,$118.44,$120.4,$118.08
04/29/2021,$122.26,3581942,$123.63,$123.715,$121.1
04/28/2021,$123.42,5084619,$122.14,$124.07,$121.94
04/27/2021,$121.66,9037164,$124.85,$125.46,$121.23
04/26/2021,$126.55,4584059,$126.04,$127.34,$125.87
04/23/2021,$126.02,3887711,$124.3,$126.52,$123.58
04/22/2021,$124.63,3504090,$124.42,$125.23,$123.79
04/21/2021,$124.82,3909786,$125.87,$125.87,$124.14
04/20/2021,$124.56,3715639,$124.5,$125.48,$124.03
04/19/2021,$125.13,3175645,$125.09,$125.66,$124.34
04/16/2021,$125.09,5110974,$125.35,$126.03,$124.88
04/15/2021,$125.53,3054552,$124.66,$126.3,$124.39
04/14/2021,$123.85,2412497,$124.79,$125.05,$123.51
04/13/2021,$124.5,3370150,$124.04,$124.7,$123.07
04/12/2021,$124.13,2670402,$124.29,$124.6421,$123.66
04/09/2021,$124.29,3649176,$123.505,$124.68,$123.15
04/08/2021,$124.15,2952274,$123.54,$124.4,$123.19
04/07/2021,$123.12,3133703,$123.53,$124.04,$122.7
04/06/2021,$123.69,2989950,$122.66,$123.87,$121.28
04/05/2021,$122.87,3575661,$122.29,$123.79,$121.64
04/01/2021,$122.17,4114399,$120,$122.69,$119.63
03/31/2021,$119.04,5063811,$120.3,$120.74,$118.54
03/30/2021,$120.76,3511967,$120.58,$121.45,$119.295
03/29/2021,$121.49,5340001,$122.44,$122.7599,$119.05
03/26/2021,$123.61,4134997,$123.16,$124.205,$122.26
03/25/2021,$122.95,3485148,$122.53,$123.39,$120.7
03/24/2021,$123.25,3552137,$121.8,$124.03,$121.72
03/23/2021,$121.29,2907597,$121.89,$122.57,$120.79
03/22/2021,$121.71,2876390,$121.97,$122.58,$121.18
03/19/2021,$121.87,5051166,$122.7,$123,$121.03
03/18/2021,$122.41,3224214,$121.79,$123.71,$121.34
03/17/2021,$123.53,2631115,$124.31,$124.31,$122.9
