Date,Close/Last,Volume,Open,High,Low
05/11/2021,$55.04,35968050,$55.05,$55.63,$54.3
05/10/2021,$55.97,35046470,$57.147,$57.23,$55.88
05/07/2021,$57.67,19959040,$57.7,$58.01,$57.24
05/06/2021,$57.19,25529250,$56.615,$57.25,$56.245
05/05/2021,$56.85,21001930,$56.96,$57.3,$56.46
05/04/2021,$56.9,35323620,$56.88,$56.98,$55.81
05/03/2021,$57.26,22281700,$57.855,$57.8768,$56.84
04/30/2021,$57.53,30731840,$57.61,$58.43,$57.07
04/29/2021,$58.28,23290620,$57.88,$58.3,$57.47
04/28/2021,$57.62,30387350,$57.52,$58.16,$57.15
04/27/2021,$57.97,38167700,$58.555,$58.63,$57.77
04/26/2021,$58.76,39645910,$59.1,$59.52,$58.46
04/23/2021,$59.24,77519830,$59.16,$60,$57.9
04/22/2021,$62.57,38257620,$63.35,$63.91,$62.28
04/21/2021,$63.7,24364210,$62.79,$63.775,$62.3
04/20/2021,$62.7,19872120,$63.64,$63.76,$62.41
04/19/2021,$63.63,23997680,$64.7,$64.74,$63.07
04/16/2021,$64.75,24625460,$65.33,$65.52,$64.57
04/15/2021,$65.02,24927680,$63.97,$65.215,$63.6799
04/14/2021,$64.19,25768420,$65.31,$65.38,$63.84
04/13/2021,$65.22,26821990,$65.61,$65.6346,$64.21
04/12/2021,$65.405,51266880,$68.2,$68.49,$64.71
04/09/2021,$68.26,27177100,$66.798,$68.4,$66.63
04/08/2021,$67.05,22224220,$66.97,$67.29,$66.36
04/07/2021,$66.25,17793260,$65.67,$66.57,$65.36
04/06/2021,$65.56,28771400,$66.062,$66.575,$65.29
04/05/2021,$66.54,27947520,$64.95,$66.74,$64.7
04/01/2021,$64.55,31416250,$64.725,$64.89,$63.575
03/31/2021,$64,33013230,$64.01,$64.4899,$63.58
03/30/2021,$63.77,20709490,$63.77,$64,$63.15
03/29/2021,$64.5,26161610,$64.011,$65.125,$63.61
03/26/2021,$64.87,34705760,$61.8,$64.97,$61.77
03/25/2021,$62.02,35401430,$61.655,$62.44,$60.975
03/24/2021,$62.04,74584670,$66.58,$67.44,$61.99
03/23/2021,$63.48,35159950,$66,$66.05,$63.17
03/22/2021,$65.63,34380150,$64.82,$66.38,$64.56
03/19/2021,$63.76,54951650,$63.18,$64.99,$62.92
03/18/2021,$63.725,30107870,$65.63,$65.7,$63.65
03/17/2021,$65.78,32394650,$64.224,$66.29,$63.71
03/16/2021,$64.78,30186640,$64.15,$65.7302,$64.08
03/15/2021,$63.79,21251480,$63.61,$63.875,$62.48
03/12/2021,$62.9,20172960,$62.65,$63.3,$62.24
03/11/2021,$63.31,30701770,$62.94,$64.09,$62.39
03/10/2021,$62.25,27160320,$63.22,$64.12,$62.13
03/09/2021,$62.67,36387480,$61.18,$63.165,$60.84
03/08/2021,$59.85,33112390,$60.468,$61.695,$59.72
03/05/2021,$60.74,39511670,$59.26,$61.175,$58.51
03/04/2021,$58.33,40210350,$59.83,$60.235,$57.905
