Date,Close/Last,Volume,Open,High,Low
05/11/2021,$91.54,2029827,$89.9,$92.235,$89.9
05/10/2021,$91.6,3256080,$91.14,$92.82,$90.7
05/07/2021,$91.25,6011986,$89,$91.68,$88.35
05/06/2021,$95.02,2148047,$94.89,$95.2004,$94.12
05/05/2021,$94.45,2005430,$96,$96.39,$94.13
05/04/2021,$95.94,2038649,$97.25,$97.47,$95.61
05/03/2021,$97.61,1921055,$97.91,$99.14,$97.39
04/30/2021,$97.05,2096258,$97.57,$97.62,$96.44
04/29/2021,$97.94,1134642,$96.93,$98.22,$96.51
04/28/2021,$96.47,1049425,$97.17,$97.3,$96.07
04/27/2021,$97.02,1063604,$97.31,$97.31,$96.5
04/26/2021,$97.14,1827395,$98.28,$98.5122,$96.71
04/23/2021,$98.68,1526910,$97.87,$99.2399,$97.59
04/22/2021,$97.51,1400126,$97.81,$98.08,$97.195
04/21/2021,$97.99,1332637,$98.21,$98.49,$97.31
04/20/2021,$97.4,1671753,$98.05,$98.25,$96.96
04/19/2021,$97.86,1731096,$98.34,$98.485,$96.935
04/16/2021,$98.17,4258316,$96.63,$98.43,$96.13
04/15/2021,$95.95,1307451,$95.32,$96.205,$95.0035
04/14/2021,$94.8,1823441,$95.83,$96.02,$94.55
04/13/2021,$95.89,2139956,$95.4,$96.29,$95.4
04/12/2021,$95.42,1367218,$95.11,$95.73,$94.615
04/09/2021,$95.29,1376128,$95.03,$95.48,$94.83
04/08/2021,$95.3,1660194,$94.79,$95.83,$94.4
04/07/2021,$94.23,1609943,$93.79,$94.57,$93.42
04/06/2021,$93.73,1673330,$93.74,$94.28,$92.63
04/05/2021,$93.44,2253261,$91.53,$94.13,$91.43
04/01/2021,$91.36,1811486,$91.7,$92.17,$91.09
03/31/2021,$91.09,2019093,$91.08,$91.725,$90.55
03/30/2021,$90.69,1722447,$91.29,$91.63,$90.14
03/29/2021,$91.92,2136897,$91.76,$92.36,$90.68
03/26/2021,$91.65,2115121,$88.35,$91.84,$88.22
03/25/2021,$88.79,1328126,$88.96,$89.31,$87.31
03/24/2021,$88.72,1870619,$89.54,$89.54,$87.85
03/23/2021,$89.62,2038461,$89.89,$90.85,$88.97
03/22/2021,$89.05,2502327,$87.8,$90.2,$87.58
03/19/2021,$87.92,3139516,$87.77,$88.62,$87.35
03/18/2021,$87.92,2658613,$88.18,$88.23,$86.34
03/17/2021,$88.6,1794853,$88.632,$89.25,$87.29
03/16/2021,$89.39,2207806,$90.05,$90.6,$89.24
03/15/2021,$89.31,1537348,$88.93,$89.39,$87.9
03/12/2021,$88.94,2520249,$88.47,$89.2,$87.66
03/11/2021,$89.35,1593451,$89.06,$90.07,$88.79
03/10/2021,$89.4,2104512,$88.8,$90.1,$88.695
03/09/2021,$88.44,2493052,$86.71,$89.11,$85.96
03/08/2021,$85.14,2301919,$86.2,$86.71,$85.02
03/05/2021,$86.42,3408490,$85.28,$86.79,$82.96
03/04/2021,$84.68,2333541,$84.72,$86.57,$84.06
03/03/2021,$84.6,2093067,$86.85,$87.33,$84.49
03/02/2021,$86.88,2275677,$87.56,$88.4918,$86.8
03/01/2021,$87.55,2070381,$88.13,$88.985,$86.4
02/26/2021,$87.74,4709500,$87.62,$89.63,$86.22
02/25/2021,$85.35,3184524,$87.9,$88.89,$85.155
02/24/2021,$88.24,1999996,$87.45,$88.8943,$86.5
02/23/2021,$88.32,2720725,$89.52,$89.55,$86.44
02/22/2021,$89.17,2191067,$89.57,$89.96,$88.8
02/19/2021,$89.65,2303237,$92.34,$92.5,$89.38
02/18/2021,$92.65,1311563,$91.47,$92.95,$91
02/17/2021,$92.16,1202051,$92,$92.3875,$91.4558
02/16/2021,$92.18,1836155,$91.73,$92.77,$91.57
02/12/2021,$91.73,1607651,$89.9,$91.85,$89.47
02/11/2021,$89.94,1029077,$90.79,$91.01,$89.73
02/10/2021,$90.45,1633852,$91.17,$91.19,$89.36
02/09/2021,$90.51,1034545,$90.45,$90.77,$89.72
02/08/2021,$90.88,1703414,$91.72,$92.1244,$90.03
02/05/2021,$91.1,1726184,$92.05,$92.72,$90.86
02/04/2021,$91.47,1202281,$90.27,$91.6,$90.21
02/03/2021,$90.41,1296561,$90.21,$91.14,$89.25
02/02/2021,$90.44,1627541,$89.01,$91.5573,$88.59
02/01/2021,$88.25,1542522,$86.81,$88.43,$86.44
01/29/2021,$86.83,1846984,$87.51,$88.67,$86.77
01/28/2021,$88.73,1884584,$86.78,$89.33,$86.63
01/27/2021,$85.93,3584348,$88.03,$88.53,$85.355
01/26/2021,$88.8,1437557,$88.3,$89.74,$88.275
01/25/2021,$88.46,1738784,$88.56,$89.4,$88.11
01/22/2021,$88.2,1196736,$89.11,$89.395,$88.08
01/21/2021,$89.2,1278012,$89.61,$89.69,$88.62
01/20/2021,$89.61,1987195,$90.13,$90.47,$89.2863
01/19/2021,$90.08,2363502,$92.34,$92.99,$90.02
01/15/2021,$91.65,3070720,$90.3,$92.5,$89.7226
01/14/2021,$91.36,2386128,$91.72,$92.68,$90.5307
01/13/2021,$91.87,3372556,$94,$94.16,$91.81
01/12/2021,$93.99,2694234,$93.26,$94.425,$92.605
01/11/2021,$92.94,1508848,$94.86,$95.105,$92.54
01/08/2021,$94.99,3138755,$93.775,$95.06,$92.95
01/07/2021,$93.5,3020426,$90.57,$93.6,$90.27
01/06/2021,$90.7,3788945,$91.06,$91.4,$90.09
01/05/2021,$91.42,2530234,$89.89,$91.66,$89.45
01/04/2021,$90.6,3006597,$92.51,$92.55,$88.8
12/31/2020,$92.48,1194023,$91.52,$92.54,$91.065
12/30/2020,$91.46,787175,$91.06,$91.68,$91.06
12/29/2020,$91.04,882655,$91.2,$91.44,$90.51
12/28/2020,$90.81,862589,$90.36,$90.9062,$90.21
12/24/2020,$89.81,461412,$89,$90.02,$88.99
12/23/2020,$88.94,1416100,$88.28,$89.5,$88.2
12/22/2020,$88.27,1516555,$88.61,$88.83,$87.98
12/21/2020,$88.97,1506766,$88.85,$89.45,$87.31
12/18/2020,$90.13,4193340,$90.71,$90.71,$89.08
12/17/2020,$90.14,1370210,$89.98,$90.45,$89.52
12/16/2020,$89.8,1364609,$88.75,$89.94,$88.555
12/15/2020,$88.58,1757480,$88.98,$89.16,$88.17
12/14/2020,$88.42,1691337,$88.28,$89.49,$88.1
12/11/2020,$88.02,1908536,$87.55,$88.22,$87.025
12/10/2020,$88.03,1253293,$88.55,$88.618,$87.51
12/09/2020,$87.9,1484753,$88.4,$88.7,$87.47
12/08/2020,$88.2,2137832,$87.86,$88.89,$86.81
12/07/2020,$87.17,1313185,$86.95,$87.76,$86.665
12/04/2020,$87.44,1821330,$86.14,$87.61,$86.125
12/03/2020,$86.52,2465523,$85.73,$86.77,$85.56
12/02/2020,$86.26,1741196,$87.84,$88.46,$85.82
12/01/2020,$86.68,2499160,$85.48,$87.025,$84.98
11/30/2020,$84.78,2654486,$84.2,$84.85,$83.28
11/27/2020,$84.15,1116157,$84.48,$85.14,$83.9
11/25/2020,$84.08,944506,$84.57,$84.94,$83.84
11/24/2020,$84.19,1434477,$84.3,$84.99,$83.51
11/23/2020,$84.07,2138519,$83.93,$84.71,$83.27
11/20/2020,$83.52,1532287,$83.61,$84.39,$83.4399
11/19/2020,$83.73,1802982,$83.38,$84.19,$82.85
11/18/2020,$84.22,1892180,$84.93,$86.03,$84.12
11/17/2020,$85.54,2205243,$84.84,$85.87,$83.975
11/16/2020,$83.58,2411580,$83.98,$85.33,$83.22
11/13/2020,$84.02,1865291,$83.43,$84.12,$82.88
11/12/2020,$82.96,1448569,$84.5,$84.79,$82.39
11/11/2020,$84.5,2326045,$81.75,$84.78,$81.525
11/10/2020,$81.58,2622715,$80.96,$82.76,$80.51
11/09/2020,$81.35,3369110,$87.81,$88.405,$80.9
11/06/2020,$83.26,2141390,$84.49,$84.58,$82.64
11/05/2020,$83.68,2894173,$84.04,$84.69,$82.64
11/04/2020,$82.72,2723618,$80.9,$83.42,$80.405
11/03/2020,$79.52,5653763,$80.35,$80.53,$78.05
11/02/2020,$77.92,1526929,$77.84,$78.35,$76.9215
10/30/2020,$76.57,3256029,$76.83,$77.22,$75.45
10/29/2020,$77.54,1530320,$77.07,$78.51,$76.54
10/28/2020,$77.37,2172598,$78.71,$79.14,$77.245
10/27/2020,$80.39,1906367,$79.79,$81.08,$79.33
10/26/2020,$78.85,1550815,$79.345,$80.27,$78.07
10/23/2020,$80.39,1504162,$80.86,$81.29,$80.05
10/22/2020,$80.56,1169486,$80.42,$80.78,$79.337
10/21/2020,$80.09,1191309,$79.87,$80.68,$79.41
10/20/2020,$80.2,1714724,$80.5,$81.06,$79.92
10/19/2020,$80.01,2186773,$80.46,$81.57,$79.63
10/16/2020,$80.76,4755043,$81.73,$82.64,$80.7
10/15/2020,$81.39,2194273,$81.83,$82.495,$81.08
10/14/2020,$82.8,1890246,$83.79,$84.34,$82.17
10/13/2020,$83.49,2924998,$83.66,$84.46,$82.825
10/12/2020,$82.78,3339970,$82.03,$83.39,$81.56
10/09/2020,$80.95,2503818,$79.49,$81.2,$79.37
10/08/2020,$79.17,1452197,$79.19,$79.35,$78.6
10/07/2020,$78.76,1648099,$77.88,$78.99,$77.63
10/06/2020,$77.63,1837320,$78.63,$79.37,$77.35
10/05/2020,$78.67,2281595,$79.71,$80.12,$78.02
10/02/2020,$79.55,2002050,$80.33,$80.83,$78.72
10/01/2020,$81.48,4699135,$81.05,$81.76,$80.24
09/30/2020,$80.2,3390275,$80.33,$81.06,$79.64
09/29/2020,$79.79,1469315,$80.89,$81.08,$79.59
09/28/2020,$80.51,2271363,$79.91,$80.73,$79.44
09/25/2020,$78.79,1576921,$77.45,$79.03,$77.08
09/24/2020,$78,1236195,$77.45,$79.02,$76.88
09/23/2020,$77.79,1425188,$78.85,$79.24,$77.43
09/22/2020,$79.23,1329612,$78.2,$79.54,$77.91
09/21/2020,$78.38,2097177,$78.41,$78.5,$77.07
09/18/2020,$78.99,4431834,$80.81,$80.95,$78.11
09/17/2020,$80.71,2034532,$80.79,$81.44,$79.66
09/16/2020,$81.87,1433046,$83.374,$84,$81.87
09/15/2020,$83.14,1545133,$83.24,$83.93,$82.42
09/14/2020,$82.89,1841693,$82.11,$83.32,$82.11
09/11/2020,$81.34,1503739,$82.05,$82.324,$80.42
09/10/2020,$81.78,2332234,$82.44,$83.19,$81.07
09/09/2020,$82.74,3872410,$80.55,$83.35,$80.55
09/08/2020,$80.1,2670045,$81.8,$81.97,$79.65
09/04/2020,$82.27,2801150,$83.16,$83.76,$80.965
09/03/2020,$82.7,2701735,$86.78,$86.81,$81.97
09/02/2020,$86.53,2571520,$85,$87.05,$84.945
09/01/2020,$84.84,2151764,$83.78,$84.86,$83.47
08/31/2020,$83.86,2787611,$84.42,$84.97,$83.24
08/28/2020,$84.54,1666860,$83.75,$84.64,$83.06
08/27/2020,$83.34,1341744,$84,$84.19,$82.79
08/26/2020,$83.97,1471373,$83.7,$84.09,$83.02
08/25/2020,$83.97,1317816,$84.05,$84.56,$83.19
08/24/2020,$83.69,1440573,$82.98,$83.7,$82.54
08/21/2020,$82.73,1480916,$82.76,$83.025,$81.82
08/20/2020,$83.01,1119345,$82.19,$83.18,$81.91
08/19/2020,$82.67,1231656,$82.78,$83.58,$82.35
08/18/2020,$82.98,1372387,$83.44,$83.83,$82.6
08/17/2020,$83.45,2608965,$83.34,$83.91,$83.285
08/14/2020,$83.32,1385765,$83.49,$83.88,$82.88
08/13/2020,$83.82,2197829,$83,$83.975,$82.79
08/12/2020,$82.65,2035159,$81.24,$83.07,$81.24
08/11/2020,$80.6,2323808,$82.28,$82.44,$80.15
08/10/2020,$82,1265861,$83.19,$83.36,$81.5762
08/07/2020,$83.19,1824589,$82.95,$83.84,$82.42
08/06/2020,$83.51,2183854,$82.98,$83.825,$82.62
08/05/2020,$83.1,3529695,$82.03,$83.96,$81.31
08/04/2020,$78.01,2494309,$77.48,$78.25,$77.21
08/03/2020,$77.84,1574099,$78.69,$78.79,$77.15
07/31/2020,$78.48,2102712,$77.76,$78.48,$76.81
07/30/2020,$77.82,2159356,$76.73,$78,$76.0144
07/29/2020,$77.31,1488959,$76.22,$77.51,$75.81
07/28/2020,$76.19,1740984,$76.93,$77.02,$75.93
07/27/2020,$76.43,2027028,$75.29,$76.73,$75.27
07/24/2020,$74.88,1586169,$75.06,$75.49,$74.59
07/23/2020,$74.93,2198390,$76.16,$76.5,$74.8
07/22/2020,$75.73,2120410,$75.41,$76.09,$75.34
07/21/2020,$75,2560516,$74.5,$75.76,$74.35
07/20/2020,$73.87,1854761,$74.5,$74.95,$73.59
07/17/2020,$74.22,5765323,$73.3,$74.62,$72.425
07/16/2020,$72.62,1493401,$71.79,$72.64,$71.61
07/15/2020,$72.19,2210829,$71.87,$72.59,$71
07/14/2020,$71.63,2064872,$69.77,$71.75,$69.54
07/13/2020,$70.55,2627306,$72.49,$72.49,$70.24
07/10/2020,$71.65,1186763,$71.08,$71.67,$70.11
07/09/2020,$71.05,1525574,$71.65,$72.04,$70.52
07/08/2020,$71.76,1671513,$72.11,$72.82,$71.22
07/07/2020,$71.7,2539474,$70.8,$72.925,$70.65
07/06/2020,$71.31,2601994,$70.27,$71.35,$69.97
07/02/2020,$69.26,1413328,$69.62,$69.94,$69.1
07/01/2020,$69.03,1101219,$69.33,$69.97,$68.84
06/30/2020,$69.32,1928674,$69.09,$69.51,$68.58
06/29/2020,$69.11,1619172,$68.39,$69.26,$67.93
06/26/2020,$67.9,2046020,$69.2,$69.3769,$67.69
06/25/2020,$69.06,1745179,$68.08,$69.14,$67.37
06/24/2020,$68.07,2158481,$69.55,$70.13,$67.87
06/23/2020,$70.18,1450026,$70.86,$71.04,$69.99
06/22/2020,$70.27,1627316,$69.54,$70.86,$69.44
