Date,Close/Last,Volume,Open,High,Low
05/11/2021,$128.37,11947960,$125.25,$128.56,$124.77
05/10/2021,$128.94,19537230,$136.02,$136.68,$128.82
05/07/2021,$137.85,6893704,$136.937,$138.69,$136.29
05/06/2021,$136,8352536,$134.49,$136.54,$133.095
05/05/2021,$134.65,6285459,$136.08,$136.45,$134.11
05/04/2021,$134.12,11996280,$136,$136,$132.42
05/03/2021,$137.43,7920307,$139.7,$139.76,$136.87
04/30/2021,$138.8,11374600,$141.07,$142.09,$138.26
04/29/2021,$142.68,20502140,$145.01,$145.2965,$140.67
04/28/2021,$136.57,13118140,$138.17,$138.2731,$135.75
04/27/2021,$138.01,9284499,$138.71,$139.38,$136.98
04/26/2021,$138.96,9715383,$135.33,$139.69,$135.12
04/23/2021,$135.43,7669057,$133.74,$136.1064,$133.535
04/22/2021,$132.97,8345144,$135.37,$135.96,$132.47
04/21/2021,$136.19,7237924,$132.82,$136.365,$132.5
04/20/2021,$133.4,7473703,$134.55,$134.78,$132.79
04/19/2021,$135.25,8728948,$136.9,$137.05,$134.085
04/16/2021,$138.21,6583895,$137.62,$139.005,$136.65
04/15/2021,$137.84,11733240,$136,$137.99,$135.57
04/14/2021,$134.75,9967790,$137.08,$137.84,$133.91
04/13/2021,$137.3,9225208,$138.38,$138.77,$135.75
04/12/2021,$137.44,10355530,$138.86,$139.89,$136.05
04/09/2021,$140.57,6033171,$139.904,$140.68,$138.88
04/08/2021,$140.34,7304948,$140,$140.37,$138.81
04/07/2021,$139.43,6958516,$138.33,$139.95,$137.4
04/06/2021,$138.06,9099981,$139.85,$140.23,$137.635
04/05/2021,$140.33,12562770,$139.04,$140.5,$138.23
04/01/2021,$137.79,14069560,$134.5,$138.4321,$133.6
03/31/2021,$132.59,8361293,$130.96,$133.52,$130.57
03/30/2021,$130.11,7097298,$130.17,$131.24,$129.065
03/29/2021,$131.27,9750057,$132.54,$133.34,$129.77
03/26/2021,$132.99,11071560,$127.06,$133.35,$127.04
03/25/2021,$127.28,10460760,$126.66,$127.6384,$124.39
03/24/2021,$127.18,10962260,$132.99,$133.06,$127.11
03/23/2021,$132.52,7425650,$134,$134.355,$131.4119
03/22/2021,$134.09,9036884,$132.96,$135.55,$132.595
03/19/2021,$131.02,17599880,$129.79,$132.48,$129.17
03/18/2021,$129.75,9587535,$132.44,$133.6,$129.66
03/17/2021,$133.92,10781520,$131.31,$135.6,$129.68
03/16/2021,$133.65,10434700,$132.89,$135.44,$132.293
03/15/2021,$131.64,7810042,$130.06,$131.76,$129.12
03/12/2021,$129.98,9365665,$129.9,$130.33,$127.62
03/11/2021,$131.74,11920180,$131.01,$133.24,$130.01
03/10/2021,$127.87,12492300,$130.67,$131.1,$127.64
03/09/2021,$129.11,13130250,$127.385,$129.92,$126.33
03/08/2021,$123.2,15256060,$129,$129.7713,$122.99
03/05/2021,$129.75,13292040,$130.92,$131.166,$125.4
03/04/2021,$127.8,15831070,$132.35,$134.2,$126.58
03/03/2021,$131.66,14862730,$135.6,$136.1801,$131.54
03/02/2021,$137.04,8693234,$140,$140.1,$136.77
03/01/2021,$139.49,9428359,$137.5,$139.63,$136.46
02/26/2021,$136.19,11772560,$136.76,$138.15,$134.7
02/25/2021,$135.53,12701090,$139.56,$140.83,$135.02
02/24/2021,$141.1,13146250,$136.4,$141.18,$135.0924
02/23/2021,$137.12,14425300,$136.38,$138.48,$134.44
02/22/2021,$139.46,12763910,$142.25,$144.12,$139.08
02/19/2021,$144.94,10012500,$144.78,$145.85,$143.49
