Date,Close/Last,Volume,Open,High,Low
05/11/2021,$84.33,6708052,$84.24,$85.2,$83.35
05/10/2021,$85.04,9042625,$86.86,$87.04,$84.93
05/07/2021,$85.71,6056042,$84.81,$85.9298,$84.14
05/06/2021,$84.68,4903888,$84.81,$84.9,$83.5301
05/05/2021,$84.13,3298446,$83.63,$84.67,$83.54
05/04/2021,$83.94,9307027,$84.12,$84.59,$83.1501
05/03/2021,$84.14,5828775,$83.8,$84.445,$83.28
04/30/2021,$83.24,5615957,$82.55,$83.4078,$82.35
04/29/2021,$82.87,6237020,$83.56,$83.8,$82.505
04/28/2021,$83.08,7164209,$81.48,$83.12,$81.48
04/27/2021,$82.81,11082370,$82.76,$83.69,$80.88
04/26/2021,$81,12145570,$81,$82.07,$80.795
04/23/2021,$80.54,7142207,$78.81,$80.76,$78.81
04/22/2021,$78.74,6706757,$78.99,$79.91,$78.55
04/21/2021,$78.87,5187112,$76.81,$78.94,$76.4
04/20/2021,$77.09,8692916,$77.8,$77.91,$76.0705
04/19/2021,$78.59,6265620,$78.12,$78.73,$77.7358
04/16/2021,$78.22,7629718,$78.59,$78.59,$77.05
04/15/2021,$77.97,5106468,$78.16,$78.28,$76.98
04/14/2021,$77.96,4855475,$78,$78.685,$77.7671
04/13/2021,$77.7,5490907,$78,$78.08,$76.7418
04/12/2021,$78.72,5485775,$78.25,$78.82,$78.13
04/09/2021,$78.29,5423405,$78.54,$78.88,$77.65
04/08/2021,$77.48,5042964,$77.13,$77.56,$76.49
04/07/2021,$77.6,5334869,$77.49,$78.11,$77.05
04/06/2021,$77.51,8489200,$77.59,$78.09,$77.2
04/05/2021,$77.91,5637907,$77.86,$78.45,$77.54
04/01/2021,$77.28,6166318,$77.61,$77.8,$76.925
03/31/2021,$77.27,6003339,$77.84,$78.2238,$77.05
03/30/2021,$77.82,5539981,$77.62,$78.45,$77.26
03/29/2021,$77.68,7136702,$78.31,$78.99,$77.53
03/26/2021,$78.17,6193860,$77.41,$78.26,$76.57
03/25/2021,$77.53,6359378,$75.1,$77.67,$74.63
03/24/2021,$75.55,7722639,$76.23,$77.83,$75.55
03/23/2021,$75.18,8285427,$76.27,$77.17,$75.01
03/22/2021,$76.92,7457120,$78.36,$78.54,$76.59
03/19/2021,$78.36,15023810,$78,$78.545,$76.12
03/18/2021,$77.94,6093485,$79.22,$79.92,$77.88
03/17/2021,$79.56,6685907,$78.46,$79.84,$78.31
03/16/2021,$78.24,5941533,$79.44,$79.665,$78.005
03/15/2021,$79.57,7868591,$78.78,$80.06,$78.35
03/12/2021,$78.52,6075911,$78,$78.87,$77.68
03/11/2021,$77.05,6314890,$76.57,$78.08,$76.2
03/10/2021,$76.56,6776597,$75.4,$77.15,$74.99
03/09/2021,$74.83,6558270,$76.04,$76.7,$74.75
03/08/2021,$75.61,7232303,$76.11,$77.34,$75.54
03/05/2021,$75.18,6661930,$75.23,$75.565,$73.1
03/04/2021,$74.42,8284190,$75.02,$76.46,$72.74
03/03/2021,$75.07,5960710,$74.8,$76.385,$74.6531
03/02/2021,$74.67,5792320,$74.31,$75.4189,$74.2
03/01/2021,$74.36,10910490,$73.51,$75.34,$73.1
02/26/2021,$71.99,8000700,$73.93,$73.93,$71.99
02/25/2021,$73.32,9483260,$76.66,$77.12,$72.95
02/24/2021,$77.67,11159300,$74.19,$78.17,$73.52
02/23/2021,$73.99,11686690,$73.41,$74.01,$72.53
02/22/2021,$73,10506950,$72.25,$74.26,$72.22
02/19/2021,$74.26,6275907,$73.38,$74.31,$73.1
02/18/2021,$72.88,4904599,$72.47,$73.05,$72.02
02/17/2021,$73.06,5189056,$72.29,$73.21,$72.08
02/16/2021,$72.61,6110513,$72.84,$73.25,$72.04
02/12/2021,$72.61,4207544,$72.09,$72.82,$71.815
02/11/2021,$72.33,4535812,$72.47,$73.19,$71.17
02/10/2021,$72.47,3930222,$72.76,$73.14,$72.14
02/09/2021,$73.04,6262977,$72.25,$73.337,$71.565
02/08/2021,$72.49,4964256,$72.28,$72.68,$71.81
02/05/2021,$72.33,7952948,$73.35,$73.8799,$72
02/04/2021,$72.68,9024262,$71.07,$72.81,$70.73
02/03/2021,$70.58,8369994,$69.76,$70.915,$69.3704
02/02/2021,$70.14,8710588,$67.67,$70.42,$67.55
02/01/2021,$66.96,5993950,$67.6,$67.6,$66.13
01/29/2021,$66.73,15649060,$67.11,$67.56,$66.11
01/28/2021,$68.17,8753242,$66.44,$69.29,$66.21
01/27/2021,$65.5,12376960,$66.55,$67.76,$65.25
01/26/2021,$67.2,13322200,$69.2,$70.93,$67.19
01/25/2021,$66.28,10514050,$66.04,$66.52,$65.02
01/22/2021,$67.58,4558065,$67.72,$68.11,$67.12
01/21/2021,$68.11,7375133,$68.33,$68.7,$67.85
