Date,Close/Last,Volume,Open,High,Low
05/11/2021,$5.87,20598400,$6,$6,$5.86
05/10/2021,$5.96,18083020,$6.04,$6.08,$5.95
05/07/2021,$6.04,15998360,$6,$6.1,$5.97
05/06/2021,$5.98,15995420,$6.02,$6.05,$5.95
05/05/2021,$6.03,22998970,$6.01,$6.06,$5.96
05/04/2021,$6.01,21150430,$6.06,$6.075,$5.97
05/03/2021,$6.055,15310010,$6.148,$6.15,$6.05
04/30/2021,$6.1,20770580,$6.06,$6.15,$6.05
04/29/2021,$6.13,26320930,$6.01,$6.14,$6.01
04/28/2021,$6.065,41727230,$6.2,$6.25,$5.96
04/27/2021,$6.31,26558130,$6.38,$6.42,$6.27
04/26/2021,$6.36,14158720,$6.34,$6.43,$6.325
04/23/2021,$6.38,16333490,$6.31,$6.41,$6.27
04/22/2021,$6.295,17278160,$6.37,$6.415,$6.27
04/21/2021,$6.39,25351500,$6.32,$6.43,$6.29
04/20/2021,$6.31,17105800,$6.27,$6.33,$6.23
04/19/2021,$6.28,13926340,$6.34,$6.34,$6.24
04/16/2021,$6.31,14986520,$6.24,$6.33,$6.23
04/15/2021,$6.24,17971700,$6.31,$6.34,$6.24
04/14/2021,$6.28,18642590,$6.19,$6.32,$6.1862
04/13/2021,$6.2,15826230,$6.24,$6.24,$6.16
04/12/2021,$6.23,17685310,$6.3,$6.34,$6.2
04/09/2021,$6.35,18114660,$6.32,$6.38,$6.27
04/08/2021,$6.31,13013220,$6.34,$6.355,$6.27
04/07/2021,$6.33,14066210,$6.35,$6.37,$6.28
04/06/2021,$6.34,18650060,$6.27,$6.34,$6.25
04/05/2021,$6.3,17963020,$6.27,$6.335,$6.25
04/01/2021,$6.27,20783930,$6.12,$6.28,$6.12
03/31/2021,$6.09,18452590,$6.14,$6.2,$6.08
03/30/2021,$6.12,16105280,$6.15,$6.18,$6.09
03/29/2021,$6.15,17612900,$6.19,$6.28,$6.11
03/26/2021,$6.22,26890610,$6.15,$6.28,$6.11
03/25/2021,$6.15,15288910,$6.16,$6.21,$6.1
03/24/2021,$6.11,24412120,$6.24,$6.29,$6.1
03/23/2021,$6.24,25997430,$6.31,$6.42,$6.22
03/22/2021,$6.31,28874430,$6.17,$6.335,$6.08
03/19/2021,$6.08,39132890,$6.08,$6.175,$6.06
03/18/2021,$6.1,21537850,$6.21,$6.265,$6.06
03/17/2021,$6.29,27683720,$6.31,$6.31,$6.16
03/16/2021,$6.33,28734320,$6.28,$6.4,$6.25
03/15/2021,$6.25,19551870,$6.18,$6.29,$6.16
03/12/2021,$6.16,19988940,$6.09,$6.2,$6.08
03/11/2021,$6.14,18859570,$6.05,$6.18,$6.05
03/10/2021,$6.06,22841380,$6.02,$6.13,$5.965
03/09/2021,$5.97,27454050,$5.93,$6.04,$5.88
03/08/2021,$5.91,32574850,$5.88,$5.99,$5.86
03/05/2021,$5.89,30028320,$5.81,$5.92,$5.76
03/04/2021,$5.79,25692150,$5.88,$5.95,$5.76
03/03/2021,$5.89,20835430,$5.97,$6,$5.87
03/02/2021,$5.98,18158540,$6.02,$6.04,$5.96
03/01/2021,$6.02,20311080,$5.89,$6.04,$5.84
02/26/2021,$5.85,33220970,$5.86,$5.97,$5.81
02/25/2021,$5.86,31734920,$5.99,$6.04,$5.81
02/24/2021,$5.99,25853130,$5.905,$6,$5.88
02/23/2021,$5.95,25486210,$6.02,$6.05,$5.865
02/22/2021,$6.02,20538690,$6.005,$6.095,$6
02/19/2021,$6.01,18381160,$5.98,$6.08,$5.98
02/18/2021,$6.02,21633310,$6.01,$6.05,$5.93
02/17/2021,$6.01,24680140,$5.97,$6.07,$5.92
02/16/2021,$5.99,21835690,$6.09,$6.11,$5.95
02/12/2021,$6.09,18559530,$6.1,$6.13,$6.02
02/11/2021,$6.11,23036300,$6.09,$6.12,$6.0101
02/10/2021,$6.07,30634720,$6.055,$6.1574,$6.02
02/09/2021,$6.06,36586380,$6.07,$6.1,$5.99
02/08/2021,$6.055,30032250,$6.14,$6.19,$6.03
02/05/2021,$6.105,29497660,$6.12,$6.18,$6.08
02/04/2021,$6.12,26160040,$6.15,$6.1822,$6.07
02/03/2021,$6.18,30116550,$6.15,$6.28,$6.125
02/02/2021,$6.2,41944670,$6.29,$6.31,$5.98
02/01/2021,$6.26,28154950,$6.35,$6.4,$6.16
01/29/2021,$6.26,41425750,$6.42,$6.76,$6.24
01/28/2021,$6.4,67769810,$6.83,$6.92,$6.38
01/27/2021,$6.87,147331000,$6.77,$8.14,$6.75
01/26/2021,$6.55,53133720,$6.066,$6.59,$6.05
01/25/2021,$6.06,33841030,$5.97,$6.15,$5.96
01/22/2021,$5.97,19289220,$5.96,$5.9974,$5.87
01/21/2021,$5.99,20873390,$5.93,$6.04,$5.88
01/20/2021,$5.96,24827120,$5.94,$6,$5.85
01/19/2021,$5.95,29451950,$5.83,$6.01,$5.8
01/15/2021,$5.8,23586270,$5.82,$5.87,$5.75
01/14/2021,$5.83,28425600,$5.93,$5.96,$5.815
01/13/2021,$5.89,39399560,$5.86,$5.93,$5.755
01/12/2021,$5.88,31597850,$5.94,$5.99,$5.87
01/11/2021,$5.94,35523040,$5.93,$6.02,$5.89
01/08/2021,$5.91,63401620,$6.39,$6.39,$5.91
01/07/2021,$6.42,30891580,$6.495,$6.51,$6.375
01/06/2021,$6.52,37326560,$6.235,$6.53,$6.23
01/05/2021,$6.24,28811940,$6.12,$6.28,$6.12
01/04/2021,$6.17,35205420,$6.39,$6.39,$6.12
12/31/2020,$6.37,12468550,$6.425,$6.43,$6.32
12/30/2020,$6.41,15742740,$6.39,$6.49,$6.38
12/29/2020,$6.41,17529040,$6.33,$6.42,$6.31
12/28/2020,$6.345,14969950,$6.3,$6.38,$6.265
12/24/2020,$6.305,5567365,$6.27,$6.32,$6.25
12/23/2020,$6.27,18910840,$6.28,$6.31,$6.25
12/22/2020,$6.27,13506340,$6.28,$6.319,$6.24
12/21/2020,$6.31,21376400,$6.25,$6.33,$6.17
12/18/2020,$6.31,38941610,$6.4,$6.43,$6.27
12/17/2020,$6.38,18549200,$6.4,$6.42,$6.315
12/16/2020,$6.37,13773720,$6.39,$6.405,$6.34
12/15/2020,$6.39,11403400,$6.35,$6.41,$6.3
12/14/2020,$6.33,17320410,$6.45,$6.45,$6.31
12/11/2020,$6.42,19912840,$6.4,$6.45,$6.36
12/10/2020,$6.39,24764480,$6.39,$6.42,$6.32
12/09/2020,$6.41,29539630,$6.67,$6.725,$6.38
12/08/2020,$6.61,46046440,$6.63,$6.6776,$6.51
12/07/2020,$6.52,22031100,$6.35,$6.5655,$6.33
12/04/2020,$6.34,19228990,$6.42,$6.4863,$6.33
12/03/2020,$6.43,21770540,$6.42,$6.48,$6.38
12/02/2020,$6.43,17445600,$6.514,$6.52,$6.42
12/01/2020,$6.52,25415990,$6.51,$6.6,$6.48
11/30/2020,$6.49,24360840,$6.53,$6.54,$6.4
11/27/2020,$6.55,10885930,$6.5,$6.625,$6.5
11/25/2020,$6.47,25936290,$6.54,$6.55,$6.34
11/24/2020,$6.55,19259230,$6.62,$6.66,$6.54
11/23/2020,$6.56,21813130,$6.44,$6.6,$6.43
11/20/2020,$6.42,15550530,$6.38,$6.46,$6.3603
11/19/2020,$6.41,19697880,$6.27,$6.44,$6.26
11/18/2020,$6.32,20547750,$6.425,$6.48,$6.31
11/17/2020,$6.41,17475200,$6.28,$6.46,$6.28
11/16/2020,$6.37,20301180,$6.34,$6.39,$6.3
11/13/2020,$6.27,19990730,$6.15,$6.29,$6.14
11/12/2020,$6.11,21986310,$6.15,$6.21,$6.035
11/11/2020,$6.18,22700540,$6.06,$6.26,$6.01
11/10/2020,$5.99,31737270,$5.97,$6.135,$5.96
11/09/2020,$6.05,28739480,$6.25,$6.32,$6.05
11/06/2020,$6.03,21434740,$6.06,$6.1,$6.01
11/05/2020,$6.09,23957320,$5.92,$6.11,$5.91
11/04/2020,$5.89,26095700,$5.88,$5.94,$5.79
11/03/2020,$5.82,26780940,$5.82,$5.91,$5.81
11/02/2020,$5.78,21972510,$5.79,$5.88,$5.735
10/30/2020,$5.73,22300430,$5.77,$5.84,$5.7
10/29/2020,$5.83,26871020,$5.68,$5.88,$5.665
10/28/2020,$5.7,23682360,$5.84,$5.855,$5.69
10/27/2020,$5.91,20521490,$5.85,$5.93,$5.76
10/26/2020,$5.79,24029840,$5.93,$5.98,$5.78
10/23/2020,$5.98,21719310,$6,$6.04,$5.9
10/22/2020,$5.99,31413020,$6.01,$6.03,$5.82
10/21/2020,$5.86,32505010,$5.83,$5.92,$5.78
10/20/2020,$5.8,19844010,$5.82,$5.86,$5.7599
10/19/2020,$5.73,21310350,$5.84,$5.89,$5.72
10/16/2020,$5.84,28474830,$5.84,$5.87,$5.795
10/15/2020,$5.84,29180930,$5.78,$5.86,$5.74
10/14/2020,$5.84,19640500,$5.89,$5.925,$5.81
10/13/2020,$5.885,29310140,$5.91,$5.98,$5.84
10/12/2020,$5.91,27179200,$5.87,$5.95,$5.85
10/09/2020,$5.84,21088190,$5.97,$6.03,$5.84
10/08/2020,$5.96,33311380,$5.91,$5.98,$5.76
10/07/2020,$5.815,32560270,$5.77,$5.89,$5.75
10/06/2020,$5.56,27371670,$5.6,$5.67,$5.53
10/05/2020,$5.61,21901430,$5.59,$5.655,$5.52
10/02/2020,$5.56,31952100,$5.52,$5.66,$5.5
10/01/2020,$5.65,43271800,$5.4,$5.66,$5.38
09/30/2020,$5.36,28075290,$5.28,$5.44,$5.27
09/29/2020,$5.25,17845430,$5.3,$5.315,$5.19
09/28/2020,$5.29,22137670,$5.2,$5.32,$5.2
09/25/2020,$5.12,25048520,$5.05,$5.18,$5.01
09/24/2020,$5.1,25502010,$4.97,$5.125,$4.95
09/23/2020,$5.02,24205970,$5.15,$5.2,$5.01
09/22/2020,$5.13,33312640,$5.13,$5.2,$5.04
09/21/2020,$5.11,30160760,$5.07,$5.11,$5
09/18/2020,$5.16,49431230,$5.3,$5.32,$5.13
09/17/2020,$5.31,34323800,$5.32,$5.37,$5.27
09/16/2020,$5.4,41299510,$5.418,$5.51,$5.37
09/15/2020,$5.36,46834350,$5.59,$5.59,$5.33
09/14/2020,$5.64,29251340,$5.51,$5.67,$5.51
09/11/2020,$5.48,26112890,$5.59,$5.615,$5.45
09/10/2020,$5.58,31233930,$5.69,$5.77,$5.53
09/09/2020,$5.71,29788030,$5.665,$5.74,$5.57
09/08/2020,$5.62,32394920,$5.7,$5.72,$5.59
09/04/2020,$5.72,24107090,$5.8,$5.825,$5.66
09/03/2020,$5.76,33973020,$5.94,$5.99,$5.73
09/02/2020,$5.93,35495730,$5.823,$5.96,$5.81
09/01/2020,$5.83,22520370,$5.828,$5.845,$5.79
08/31/2020,$5.87,18814240,$5.91,$5.9229,$5.85
08/28/2020,$5.96,17721150,$5.92,$5.98,$5.9
08/27/2020,$5.9,22569830,$5.85,$5.96,$5.85
08/26/2020,$5.83,15294000,$5.81,$5.87,$5.8
08/25/2020,$5.86,17489920,$5.87,$5.8872,$5.775
08/24/2020,$5.85,20255450,$5.82,$5.87,$5.78
08/21/2020,$5.82,21217800,$5.79,$5.82,$5.75
08/20/2020,$5.83,18622030,$5.82,$5.84,$5.77
08/19/2020,$5.87,15605710,$5.97,$5.98,$5.85
08/18/2020,$5.95,14578420,$5.97,$6.01,$5.93
08/17/2020,$5.995,21609520,$5.9961,$6.0156,$5.92
08/14/2020,$5.98,15346020,$6.01,$6.05,$5.97
08/13/2020,$6.005,16563300,$6.08,$6.12,$6
08/12/2020,$6.09,21154220,$6.06,$6.2,$6.05
08/11/2020,$6.045,27783370,$6.023,$6.15,$6.02
08/10/2020,$6.01,17325180,$5.94,$6.02,$5.9
08/07/2020,$5.98,18090010,$5.88,$5.985,$5.88
08/06/2020,$5.92,17973290,$5.9,$5.95,$5.86
08/05/2020,$5.91,17994340,$5.94,$5.97,$5.89
08/04/2020,$5.92,21432460,$5.85,$5.99,$5.835
08/03/2020,$5.87,21193440,$5.87,$5.93,$5.805
07/31/2020,$5.88,35189990,$5.85,$5.93,$5.75
07/30/2020,$5.87,52706140,$6.07,$6.2,$5.82
07/29/2020,$5.91,27449780,$5.97,$6.02,$5.87
07/28/2020,$5.95,18707140,$6.05,$6.06,$5.92
07/27/2020,$5.99,20470120,$5.9,$5.99,$5.84
07/24/2020,$5.905,19196560,$5.9,$5.95,$5.85
07/23/2020,$5.89,19364520,$5.93,$5.97,$5.85
07/22/2020,$5.94,20669140,$5.91,$5.98,$5.855
07/21/2020,$5.87,23950230,$5.86,$6.03,$5.85
07/20/2020,$5.82,20047670,$5.89,$5.92,$5.76
07/17/2020,$5.89,23128770,$5.94,$5.98,$5.89
07/16/2020,$5.95,19878860,$5.95,$5.98,$5.87
07/15/2020,$6.01,39096110,$5.76,$6.02,$5.755
07/14/2020,$5.66,29249770,$5.52,$5.69,$5.51
07/13/2020,$5.59,22869120,$5.69,$5.78,$5.59
07/10/2020,$5.7,18971600,$5.65,$5.72,$5.61
07/09/2020,$5.63,19778600,$5.78,$5.815,$5.59
07/08/2020,$5.78,20448420,$5.78,$5.82,$5.7
07/07/2020,$5.79,22287690,$5.9,$5.91,$5.78
07/06/2020,$5.87,21656200,$5.904,$5.96,$5.85
07/02/2020,$5.84,24056440,$5.98,$5.98,$5.83
07/01/2020,$5.89,26157640,$5.88,$5.9572,$5.79
06/30/2020,$5.87,36890910,$5.69,$5.89,$5.65
06/29/2020,$5.7,23508920,$5.57,$5.73,$5.545
06/26/2020,$5.54,49865870,$5.8,$5.81,$5.52
06/25/2020,$5.82,27065660,$5.74,$5.84,$5.66
06/24/2020,$5.78,32398820,$5.89,$5.89,$5.71
06/23/2020,$5.9,29922750,$6.01,$6.07,$5.875
06/22/2020,$5.96,23603310,$5.95,$6,$5.87
06/19/2020,$5.96,43943630,$6.12,$6.17,$5.94
06/18/2020,$6.06,21462920,$6.01,$6.09,$5.97
06/17/2020,$6.02,18057530,$6.04,$6.1,$6
06/16/2020,$6.035,26132830,$6.18,$6.19,$5.92
06/15/2020,$5.99,27087840,$5.81,$6.02,$5.79
06/12/2020,$5.935,33633820,$6.02,$6.06,$5.8
06/11/2020,$5.85,30558350,$6.06,$6.085,$5.81
06/10/2020,$6.22,28889660,$6.34,$6.35,$6.09
06/09/2020,$6.325,23545350,$6.44,$6.46,$6.3
06/08/2020,$6.515,32546910,$6.57,$6.58,$6.46
06/05/2020,$6.51,37423140,$6.68,$6.73,$6.46
06/04/2020,$6.45,57404900,$6.24,$6.5,$6.21
06/03/2020,$6.25,41905590,$6.04,$6.29,$6.02
06/02/2020,$5.98,34274190,$6.04,$6.05,$5.93
06/01/2020,$5.965,33713860,$5.82,$6,$5.81
05/29/2020,$5.82,62455310,$5.66,$5.86,$5.57
05/28/2020,$5.68,38509730,$5.79,$5.79,$5.64
05/27/2020,$5.78,48189130,$5.65,$5.835,$5.64
05/26/2020,$5.48,38737880,$5.44,$5.515,$5.32
05/22/2020,$5.305,39030060,$5.21,$5.345,$5.1725
05/21/2020,$5.195,51877710,$5.23,$5.23,$5.06
05/20/2020,$5.23,49101710,$5.48,$5.51,$5.19
05/19/2020,$5.45,36371630,$5.54,$5.57,$5.42
05/18/2020,$5.51,44313930,$5.49,$5.64,$5.44
05/15/2020,$5.34,26041020,$5.25,$5.34,$5.18
05/14/2020,$5.285,56935190,$5.16,$5.31,$5.0101
05/13/2020,$5.22,42759530,$5.42,$5.48,$5.11
05/12/2020,$5.43,32093600,$5.66,$5.68,$5.41
