Date,Close/Last,Volume,Open,High,Low
05/11/2021,$68.15,4803416,$66.951,$68.55,$66.23
05/10/2021,$68.62,4402569,$71.74,$71.81,$68.58
05/07/2021,$71.65,4205678,$70,$71.83,$69.25
05/06/2021,$69.61,3250920,$68.58,$69.68,$67.8595
05/05/2021,$68.58,3360203,$68.4,$69.07,$67.74
05/04/2021,$67.28,6548693,$69.4,$69.4657,$65.905
05/03/2021,$70.12,4739330,$71.25,$71.82,$69.3
04/30/2021,$70.63,11014980,$73.09,$74.7,$69.74
04/29/2021,$71.13,5773665,$71.54,$71.84,$69.68
04/28/2021,$70.6,5121634,$72.43,$72.82,$70.19
04/27/2021,$72.45,3485221,$72.02,$72.63,$70.9
04/26/2021,$71.41,5509322,$68.97,$71.99,$68.9
04/23/2021,$68.07,3109308,$66.92,$68.4337,$66.01
04/22/2021,$66.26,4996445,$69.49,$69.53,$65.94
04/21/2021,$69.46,2940146,$67.2,$69.48,$66.9
04/20/2021,$67.98,2695508,$68.34,$68.8,$67.43
04/19/2021,$68.31,3518461,$69.05,$69.83,$67.52
04/16/2021,$68.89,3058769,$69.32,$70.5,$68.85
04/15/2021,$68.73,3443993,$69.61,$69.61,$68.28
04/14/2021,$68.69,2973968,$69.38,$70.43,$68.6
04/13/2021,$69.8,3592728,$71.19,$71.43,$69.69
04/12/2021,$71.43,2767260,$72.68,$72.74,$71.18
04/09/2021,$72.93,2352968,$72.94,$73.2027,$72.1699
04/08/2021,$72.94,2821227,$73.21,$73.745,$71.8
04/07/2021,$72.22,3603214,$73,$74.66,$71.85
04/06/2021,$72.82,4408918,$70.88,$73.01,$70.7
04/05/2021,$72.04,4692716,$71.69,$72.57,$70.63
04/01/2021,$71.37,7122235,$70.41,$71.59,$69.28
03/31/2021,$66.75,5078083,$65.292,$67.29,$64.62
03/30/2021,$65.46,2655511,$65.22,$65.88,$64.42
03/29/2021,$65.35,3636018,$67.08,$67.93,$65.05
03/26/2021,$67.28,3521680,$65.47,$67.33,$64.85
03/25/2021,$64.05,3517803,$62.37,$64.4,$61.72
03/24/2021,$63.66,4823857,$66.31,$66.9,$63.55
03/23/2021,$65.46,7028269,$70,$70.49,$64.7
03/22/2021,$70.33,3270912,$71,$71.46,$69.77
